major_name,undergraduate_record_program_url
Aerospace Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10108&hl=aerospace+engineering&returnto=search
Biomedical Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10121&hl=Biomedical+Engineering&returnto=search
Chemical Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10122&hl=Chemical+Engineering&returnto=search
Civil Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10124&hl=civil+engineering&returnto=search
Computer Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10130&hl=computer+Engineering&returnto=search
Computer Science (Engineering),https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10132&hl=computer+science&returnto=search
Electrical Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10139&hl=electrical+Engineering&returnto=search
Materials Science and Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10160&hl=materials+science+in+engineering&returnto=search
Mechanical Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10162&hl=mechanical+engineering&returnto=search
Systems Engineering,https://records.ureg.virginia.edu/preview_program.php?catoid=67&poid=10183&hl=systems+engineering&returnto=search
